"COUNTRY_NAME","COUNTRY_CODE","YEAR","LIFE_EXPECTANCE_AT_BIRTH","OOPEXP_PC_HEALTHXP","OOPEXP_USD_CAP","OOPEXP_PC_GDP","VOLUNTARY_PC_GDP","COMPULSORY_PC_GDP","TOT_USD_CAP","COMPULSORY_PC_HEALTHXP","TOT_PC_GDP","VOLUNTARY_USD_CAP","VOLUNTARY_PC_HEALTHXP","COMPULSORY_USD_CAP"
"Australia","AUS","2019","82.0",,,,"3.0","6.0","5187.0","67.0","9.0","1692.0","32.0","3495.0"
"Australia","AUS","2018","82.0",,,,"3.0","6.0","4964.0","66.0","9.0","1653.0","33.0","3311.0"
"Australia","AUS","2017","82.0","17.0","845.0","1.0","3.0","6.0","4710.0","66.0","9.0","1579.0","33.0","3131.0"
"Australia","AUS","2016","82.0","18.0","844.0","1.0","3.0","6.0","4605.0","66.0","9.0","1563.0","33.0","3042.0"
"Australia","AUS","2015","82.0","18.0","830.0","1.0","3.0","6.0","4380.0","65.0","9.0","1509.0","34.0","2871.0"
"Australia","AUS","2014","82.0","19.0","821.0","1.0","3.0","5.0","4190.0","64.0","9.0","1486.0","35.0","2703.0"
"Australia","AUS","2013","82.0","19.0","806.0","1.0","3.0","5.0","4092.0","64.0","8.0","1440.0","35.0","2652.0"
"Australia","AUS","2012","81.0","19.0","768.0","1.0","2.0","5.0","3854.0","67.0","8.0","1251.0","32.0","2602.0"
"Australia","AUS","2011","81.0","19.0","730.0","1.0","2.0","5.0","3809.0","69.0","8.0","1172.0","30.0","2636.0"
"Australia","AUS","2010","81.0","19.0","710.0","1.0","2.0","5.0","3595.0","68.0","8.0","1127.0","31.0","2467.0"
"Brazil","BRA","2017","75.0","27.0",,"2.0","5.0","3.0",,"41.0","9.0",,"58.0",
"Brazil","BRA","2016","74.0","27.0",,"2.0","5.0","3.0",,"42.0","9.0",,"57.0",
"Brazil","BRA","2015","74.0","28.0",,"2.0","5.0","3.0",,"42.0","8.0",,"57.0",
"Brazil","BRA","2014","74.0","28.0",,"2.0","4.0","3.0",,"44.0","8.0",,"55.0",
"Brazil","BRA","2013","74.0","28.0",,"2.0","4.0","3.0",,"44.0","7.0",,"55.0",
"Brazil","BRA","2012","73.0","29.0",,"2.0","4.0","3.0",,"43.0","7.0",,"56.0",
"Brazil","BRA","2011","73.0","29.0",,"2.0","4.0","3.0",,"44.0","7.0",,"55.0",
"Brazil","BRA","2010","73.0","29.0",,"2.0","4.0","3.0",,"45.0","7.0",,"54.0",
"Canada","CAN","2019","82.0","14.0","795.0","1.0","3.0","7.0","5418.0","70.0","10.0","1603.0","29.0","3815.0"
"Canada","CAN","2018","81.0","14.0","778.0","1.0","3.0","7.0","5287.0","70.0","10.0","1567.0","29.0","3719.0"
"Canada","CAN","2017","81.0","14.0","772.0","1.0","3.0","7.0","5155.0","70.0","10.0","1542.0","29.0","3612.0"
"Canada","CAN","2016","81.0","15.0","761.0","1.0","3.0","7.0","5020.0","69.0","10.0","1508.0","30.0","3511.0"
"Canada","CAN","2015","81.0","14.0","656.0","1.0","3.0","7.0","4610.0","70.0","10.0","1337.0","29.0","3272.0"
"Canada","CAN","2014","81.0","14.0","661.0","1.0","3.0","7.0","4533.0","70.0","10.0","1333.0","29.0","3199.0"
"Canada","CAN","2013","81.0","14.0","616.0","1.0","2.0","7.0","4397.0","71.0","10.0","1267.0","28.0","3129.0"
"Canada","CAN","2012","81.0","14.0","613.0","1.0","3.0","7.0","4300.0","71.0","10.0","1246.0","28.0","3054.0"
"Canada","CAN","2011","81.0","14.0","607.0","1.0","3.0","7.0","4191.0","70.0","10.0","1226.0","29.0","2964.0"
"Canada","CAN","2010","80.0","15.0","630.0","1.0","3.0","7.0","4140.0","70.0","10.0","1236.0","29.0","2903.0"
"China","CHN","2017","76.0","36.0",,"1.0","2.0","2.0",,"56.0","5.0",,"43.0",
"China","CHN","2016","75.0","35.0",,"1.0","2.0","2.0",,"58.0","4.0",,"41.0",
"China","CHN","2015","75.0","35.0",,"1.0","1.0","2.0",,"60.0","4.0",,"39.0",
"China","CHN","2014","75.0","36.0",,"1.0","1.0","2.0",,"58.0","4.0",,"41.0",
"China","CHN","2013","75.0","38.0",,"1.0","2.0","2.0",,"57.0","4.0",,"42.0",
"China","CHN","2012","74.0","39.0",,"1.0","2.0","2.0",,"55.0","4.0",,"44.0",
"China","CHN","2011","74.0","40.0",,"1.0","1.0","2.0",,"53.0","4.0",,"46.0",
"China","CHN","2010","74.0","40.0",,"1.0","2.0","2.0",,"51.0","4.0",,"47.0",
"Germany","DEU","2019","80.0","12.0","799.0","1.0","1.0","9.0","6645.0","84.0","11.0","997.0","15.0","5648.0"
"Germany","DEU","2018","80.0","12.0","778.0","1.0","1.0","9.0","6223.0","84.0","11.0","960.0","15.0","5262.0"
"Germany","DEU","2017","80.0","12.0","760.0","1.0","1.0","9.0","6010.0","84.0","11.0","930.0","15.0","5080.0"
"Germany","DEU","2016","80.0","12.0","729.0","1.0","1.0","9.0","5667.0","84.0","11.0","889.0","15.0","4778.0"
"Germany","DEU","2015","81.0","12.0","686.0","1.0","1.0","9.0","5294.0","84.0","11.0","837.0","15.0","4456.0"
"Germany","DEU","2014","80.0","12.0","662.0","1.0","1.0","9.0","5148.0","84.0","11.0","813.0","15.0","4335.0"
"Germany","DEU","2013","80.0","13.0","652.0","1.0","1.0","9.0","4948.0","83.0","10.0","800.0","16.0","4148.0"
"Germany","DEU","2012","80.0","14.0","665.0","1.0","1.0","8.0","4742.0","82.0","10.0","807.0","17.0","3934.0"
"Germany","DEU","2011","79.0","13.0","632.0","1.0","1.0","8.0","4565.0","83.0","10.0","771.0","16.0","3794.0"
"Germany","DEU","2010","79.0","13.0","610.0","1.0","1.0","9.0","4421.0","83.0","11.0","740.0","16.0","3680.0"
"France","FRA","2019","82.0",,,,"1.0","9.0","5375.0","83.0","11.0","874.0","16.0","4501.0"
"France","FRA","2018","82.0","9.0","476.0","1.0","1.0","9.0","5154.0","83.0","11.0","843.0","16.0","4310.0"
"France","FRA","2017","82.0","9.0","482.0","1.0","1.0","9.0","5056.0","83.0","11.0","846.0","16.0","4210.0"
"France","FRA","2016","82.0","9.0","471.0","1.0","1.0","9.0","4934.0","83.0","11.0","835.0","16.0","4099.0"
"France","FRA","2015","82.0","9.0","453.0","1.0","2.0","8.0","4678.0","76.0","11.0","1093.0","23.0","3585.0"
"France","FRA","2014","82.0","9.0","457.0","1.0","2.0","8.0","4645.0","76.0","11.0","1089.0","23.0","3555.0"
"France","FRA","2013","81.0","9.0","452.0","1.0","2.0","8.0","4557.0","76.0","11.0","1081.0","23.0","3476.0"
"France","FRA","2012","82.0","10.0","435.0","1.0","2.0","8.0","4305.0","76.0","11.0","1028.0","23.0","3277.0"
"France","FRA","2011","81.0","10.0","426.0","1.0","2.0","8.0","4167.0","76.0","11.0","998.0","23.0","3169.0"
"France","FRA","2010","81.0","10.0","413.0","1.0","2.0","8.0","4048.0","76.0","11.0","959.0","23.0","3088.0"
"United Kingdom","GBR","2019","81.0",,,,"2.0","7.0","4653.0","77.0","10.0","1033.0","22.0","3619.0"
"United Kingdom","GBR","2018","81.0","16.0","716.0","1.0","2.0","7.0","4289.0","77.0","9.0","953.0","22.0","3336.0"
"United Kingdom","GBR","2017","81.0","15.0","655.0","1.0","2.0","7.0","4126.0","78.0","9.0","879.0","21.0","3247.0"
"United Kingdom","GBR","2016","80.0","15.0","608.0","1.0","2.0","7.0","3989.0","79.0","9.0","811.0","20.0","3178.0"
"United Kingdom","GBR","2015","81.0","15.0","577.0","1.0","2.0","7.0","3828.0","79.0","9.0","784.0","20.0","3043.0"
"United Kingdom","GBR","2014","81.0","15.0","572.0","1.0","2.0","7.0","3779.0","79.0","9.0","776.0","20.0","3003.0"
"United Kingdom","GBR","2013","80.0","15.0","564.0","1.0","2.0","7.0","3694.0","79.0","9.0","767.0","20.0","2927.0"
"United Kingdom","GBR","2012","80.0","13.0","502.0","1.0","1.0","8.0","3638.0","80.0","10.0","699.0","19.0","2939.0"
"United Kingdom","GBR","2011","80.0","13.0","458.0","1.0","1.0","8.0","3496.0","81.0","9.0","646.0","18.0","2850.0"
"United Kingdom","GBR","2010","80.0","12.0","442.0","1.0","1.0","8.0","3430.0","81.0","9.0","622.0","18.0","2808.0"
"Indonesia","IDN","2017","71.0","34.0",,"1.0","1.0","1.0",,"49.0","2.0",,"50.0",
"Indonesia","IDN","2016","70.0","37.0",,"1.0","1.0","1.0",,"45.0","3.0",,"54.0",
"Indonesia","IDN","2015","70.0","40.0",,"1.0","1.0","1.0",,"40.0","3.0",,"59.0",
"Indonesia","IDN","2014","70.0","42.0",,"1.0","1.0","1.0",,"36.0","3.0",,"63.0",
"Indonesia","IDN","2013","69.0","49.0",,"1.0","2.0","0.0",,"31.0","2.0",,"68.0",
"Indonesia","IDN","2012","69.0","53.0",,"1.0","2.0","0.0",,"30.0","2.0",,"69.0",
"Indonesia","IDN","2011","69.0","56.0",,"1.0","2.0","0.0",,"27.0","2.0",,"72.0",
"Indonesia","IDN","2010","68.0","56.0",,"1.0","2.0","0.0",,"26.0","2.0",,"73.0",
"India","IND","2017","68.0","62.0",,"2.0","2.0","0.0",,"27.0","3.0",,"72.0",
"India","IND","2016","68.0","63.0",,"2.0","2.0","0.0",,"27.0","3.0",,"72.0",
"India","IND","2015","68.0","64.0",,"2.0","2.0","0.0",,"25.0","3.0",,"74.0",
"India","IND","2014","67.0","67.0",,"2.0","2.0","0.0",,"22.0","3.0",,"77.0",
"India","IND","2013","67.0","69.0",,"2.0","2.0","0.0",,"22.0","3.0",,"77.0",
"India","IND","2012","67.0","63.0",,"2.0","2.0","0.0",,"27.0","3.0",,"72.0",
"India","IND","2011","66.0","62.0",,"2.0","2.0","0.0",,"28.0","3.0",,"71.0",
"India","IND","2010","66.0","65.0",,"2.0","2.0","0.0",,"25.0","3.0",,"74.0",
"Italy","ITA","2019","83.0","23.0","842.0","2.0","2.0","6.0","3649.0","74.0","8.0","943.0","25.0","2705.0"
"Italy","ITA","2018","82.0","23.0","820.0","2.0","2.0","6.0","3484.0","73.0","8.0","909.0","26.0","2574.0"
"Italy","ITA","2017","83.0","23.0","809.0","2.0","2.0","6.0","3399.0","73.0","8.0","892.0","26.0","2506.0"
"Italy","ITA","2016","82.0","23.0","763.0","2.0","2.0","6.0","3273.0","74.0","8.0","838.0","25.0","2435.0"
"Italy","ITA","2015","83.0","23.0","725.0","2.0","2.0","6.0","3089.0","74.0","8.0","789.0","25.0","2299.0"
"Italy","ITA","2014","82.0","22.0","684.0","1.0","2.0","6.0","3036.0","75.0","8.0","746.0","24.0","2290.0"
"Italy","ITA","2013","82.0","22.0","676.0","1.0","2.0","6.0","3042.0","75.0","8.0","737.0","24.0","2305.0"
