COUNTRY CODE,YEAR,OOPEXP_PC_HEALTHXP,OOPEXP_USD_CAP,OOPEXP_PC_GDP,VOLUNTARY_PC_GDP,COMPULSORY_PC_GDP,TOT_USD_CAP,COMPULSORY_PC_HEALTHXP,TOT_PC_GDP,VOLUNTARY_USD_CAP,VOLUNTARY_PC_HEALTHXP,COMPULSORY_USD_CAP
CHE,1995,32.381,844.761,2.882,3.971,4.928,2608.806,55.378,8.9,1164.1,44.622,1444.706
CHE,1996,31.358,867.163,2.903,4.032,5.226,2765.35,56.45,9.258,1204.311,43.55,1561.039
CHE,1997,31.359,900.46,2.907,3.979,5.29,2871.474,57.07,9.269,1232.713,42.93,1638.761
CHE,1998,31.202,932.338,2.923,3.998,5.372,2988.028,57.333,9.369,1274.891,42.667,1713.137
CHE,1999,31.238,969.539,2.965,3.995,5.495,3103.729,57.906,9.49,1306.48,42.094,1797.249
KOR,2019,31.442,1064.033,2.529,3.154,4.891,3384.158,60.795,8.044,1326.764,39.205,2057.395
ITA,2009,20.664,608.448,1.85,1.942,7.01,2944.534,78.305,8.952,638.813,21.695,2305.721
ITA,2008,21.339,625.766,1.821,1.905,6.628,2932.455,77.675,8.533,654.662,22.325,2277.793
KOR,2016,33.031,878.887,2.284,2.831,4.083,2660.792,59.049,6.914,1089.613,40.951,1571.179
ITA,2007,21.516,579.778,1.751,1.832,6.305,2694.615,77.488,8.136,606.604,22.512,2088.011
KOR,2015,33.599,836.785,2.235,2.734,3.919,2490.499,58.902,6.653,1023.544,41.098,1466.956
ITA,2006,21.317,567.159,1.798,1.877,6.56,2660.54,77.75,8.437,591.958,22.25,2068.583
KOR,2018,32.502,1002.73,2.458,3.031,4.532,3085.18,59.924,7.563,1236.424,40.076,1848.756
ITA,2005,21.606,541.031,1.802,1.877,6.462,2504.099,77.489,8.339,563.708,22.511,1940.391
RUS,2017,40.493,619.049,2.17,2.3,3.059,1528.777,57.089,5.359,656.017,42.911,872.76
KOR,2017,32.625,916.521,2.319,2.884,4.223,2809.25,59.419,7.107,1140.034,40.581,1669.215
ITA,2004,22.833,559.626,1.864,1.94,6.226,2450.992,76.244,8.165,582.258,23.756,1868.734
ITA,2003,23.719,542.962,1.858,1.932,5.901,2289.15,75.334,7.833,564.65,24.666,1724.5
ITA,2002,24.125,553.127,1.898,1.97,5.897,2292.714,74.959,7.867,574.128,25.041,1718.586
ITA,2001,24.477,526.393,1.894,1.964,5.774,2150.606,74.623,7.738,545.766,25.377,1604.84
CHE,1990,,,,,,2134.153,,7.852,,,
