LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,TOT,PC_GDP,1971,4.547
AUS,TOT,PC_GDP,1972,4.547
AUS,TOT,PC_GDP,1973,4.511
AUS,TOT,PC_GDP,1974,5.112
AUS,TOT,PC_GDP,1975,5.76
AUS,TOT,PC_GDP,1976,5.777
AUS,TOT,PC_GDP,1977,6.076
AUS,TOT,PC_GDP,1978,5.938
AUS,TOT,PC_GDP,1979,5.828
AUS,TOT,PC_GDP,1980,5.83
AUS,TOT,PC_GDP,1981,5.839
AUS,TOT,PC_GDP,1982,6.106
AUS,TOT,PC_GDP,1983,6.052
AUS,TOT,PC_GDP,1984,6.024
AUS,TOT,PC_GDP,1985,6.075
AUS,TOT,PC_GDP,1986,6.274
AUS,TOT,PC_GDP,1987,6.112
AUS,TOT,PC_GDP,1988,6.067
AUS,TOT,PC_GDP,1989,6.12
AUS,TOT,PC_GDP,1990,6.48
AUS,TOT,PC_GDP,1991,6.776
AUS,TOT,PC_GDP,1992,6.841
AUS,TOT,PC_GDP,1993,6.857
AUS,TOT,PC_GDP,1994,6.889
AUS,TOT,PC_GDP,1995,6.935
AUS,TOT,PC_GDP,1996,7.074
AUS,TOT,PC_GDP,1997,7.088
AUS,TOT,PC_GDP,1998,7.244
AUS,TOT,PC_GDP,1999,7.331
AUS,TOT,PC_GDP,2000,7.614
AUS,TOT,PC_GDP,2001,7.696
AUS,TOT,PC_GDP,2002,7.893
AUS,TOT,PC_GDP,2003,7.904
AUS,TOT,PC_GDP,2004,8.109
AUS,TOT,PC_GDP,2005,7.99
AUS,TOT,PC_GDP,2006,7.989
AUS,TOT,PC_GDP,2007,8.068
AUS,TOT,PC_GDP,2008,8.256
AUS,TOT,PC_GDP,2009,8.563
AUS,TOT,PC_GDP,2010,8.431
AUS,TOT,PC_GDP,2011,8.542
AUS,TOT,PC_GDP,2012,8.676
AUS,TOT,PC_GDP,2013,8.761
AUS,TOT,PC_GDP,2014,9.036
AUS,TOT,PC_GDP,2015,9.323
AUS,TOT,PC_GDP,2016,9.201
AUS,TOT,PC_GDP,2017,9.205
